Time,0
2021-01-01,7346
2021-01-02,10560
2021-01-03,8687
2021-01-04,11481
2021-01-05,12779
2021-01-06,11858
2021-01-07,9188
2021-01-08,8482
2021-01-09,8107
2021-01-10,9410
2021-01-11,12296
2021-01-12,8332
2021-01-13,15557
2021-01-14,13535
2021-01-15,12772
2021-01-16,9552
2021-01-17,2997
2021-01-18,13568
2021-01-19,9747
2021-01-20,16122
2021-01-21,13759
2021-01-22,14022
2021-01-23,18273
2021-01-24,5601
2021-01-25,9099
2021-01-26,11130
2021-01-27,9742
2021-01-28,5865
2021-01-29,9004
2021-01-30,3945
2021-01-31,10048
2021-02-01,8397
2021-02-02,9231
2021-02-03,9734
2021-02-04,16188
2021-02-05,11595
2021-02-06,4311
2021-02-07,3769
2021-02-08,5372
2021-02-09,7034
2021-02-10,7470
2021-02-11,9790
2021-02-12,8704
2021-02-13,9133
2021-02-14,9294
2021-02-15,5932
2021-02-16,15223
2021-02-17,16799
2021-02-18,14129
2021-02-19,19490
2021-02-20,28865
2021-02-21,40671
2021-02-22,20878
2021-02-23,31587
2021-02-24,37056
2021-02-25,34526
2021-02-26,14453
2021-02-27,21560
2021-02-28,30893
2021-03-01,25765
2021-03-02,30437
2021-03-03,31423
2021-03-04,10653
2021-03-05,18440
2021-03-06,20420
2021-03-07,21035
2021-03-08,16459
2021-03-09,11197
2021-03-10,19221
2021-03-11,12850
2021-03-12,14576
2021-03-13,7532
2021-03-14,9601
2021-03-15,11318
2021-03-16,14373
2021-03-17,14076
2021-03-18,16246
2021-03-19,19984
2021-03-20,20519
2021-03-21,10823
2021-03-22,16158
2021-03-23,22178
2021-03-24,33464
2021-03-25,23263
2021-03-26,28176
2021-03-27,10593
2021-03-28,25317
2021-03-29,38743
2021-03-30,45929
2021-03-31,45124
2021-04-01,35208
2021-04-02,18539
2021-04-03,20890
2021-04-04,12186
2021-04-05,4247
2021-04-06,8855
2021-04-07,6533
2021-04-08,19010
2021-04-09,27366
2021-04-10,7778
2021-04-11,3218
2021-04-12,16131
2021-04-13,18369
2021-04-14,19667
2021-04-15,19933
2021-04-16,19987
2021-04-17,24588
2021-04-18,20259
2021-04-19,16063
2021-04-20,35916
2021-04-21,26130
2021-04-22,27859
2021-04-23,31019
2021-04-24,32772
2021-04-25,39286
2021-04-26,30943
2021-04-27,34721
2021-04-28,36230
2021-04-29,17150
2021-04-30,21793
2021-05-01,29908
2021-05-02,19351
2021-05-03,23737
2021-05-04,12864
2021-05-05,13975
2021-05-06,16445
2021-05-07,17751
2021-05-08,20810
2021-05-09,47608
2021-05-10,22331
2021-05-11,17639
2021-05-12,26223
2021-05-13,39685
2021-05-14,21455
2021-05-15,11923
2021-05-16,14827
2021-05-17,17236
2021-05-18,16313
2021-05-19,21793
2021-05-20,27927
2021-05-21,24708
2021-05-22,11231
2021-05-23,31576
2021-05-24,20006
2021-05-25,11247
2021-05-26,14468
2021-05-27,14472
2021-05-28,33445
2021-05-29,41168
2021-05-30,52816
2021-05-31,40316
2021-06-01,44824
2021-06-02,45310
2021-06-03,18840
2021-06-04,25573
2021-06-05,21941
2021-06-06,20273
2021-06-07,29522
2021-06-08,36718
2021-06-09,41961
2021-06-10,42212
2021-06-11,40759
2021-06-12,33748
2021-06-13,48452
2021-06-14,39986
2021-06-15,40503
2021-06-16,40157
2021-06-17,35260
2021-06-18,32154
2021-06-19,33069
2021-06-20,35042
2021-06-21,26307
2021-06-22,19931
2021-06-23,29578
2021-06-24,23396
2021-06-25,38215
2021-06-26,38710
2021-06-27,34894
2021-06-28,31342
2021-06-29,24278
2021-06-30,22204
2021-07-01,22428
2021-07-02,35036
2021-07-03,34892
2021-07-04,13437
2021-07-05,22908
2021-07-06,22155
2021-07-07,39137
2021-07-08,19218
2021-07-09,23561
2021-07-10,27600
2021-07-11,28898
2021-07-12,31458
2021-07-13,14069
2021-07-14,6511
2021-07-15,21435
2021-07-16,14964
2021-07-17,17942
2021-07-18,29954
2021-07-19,23210
2021-07-20,30685
2021-07-21,32301
2021-07-22,32452
2021-07-23,33525
2021-07-24,12810
2021-07-25,31357
2021-07-26,25771
2021-07-27,20289
2021-07-28,25898
2021-07-29,29326
2021-07-30,32087
2021-07-31,21854
2021-08-01,26692
2021-08-02,16493
2021-08-03,13124
