Time,Kennedybrücke,Nordbrücke,Südbrücke,Estermannufer,Von-Sandt-Ufer,Rhenusallee,Brühler Straße,Wilhelm-Spiritus-Ufer,Mc Cloy Weg,Weg auf Damm Neil
2020-01-01 00:00:00,53,4,17,0,6,6,5,12,1,5
2020-01-01 01:00:00,77,6,15,0,2,9,13,8,2,6
2020-01-01 02:00:00,108,11,20,0,11,4,8,7,0,4
2020-01-01 03:00:00,104,4,9,0,5,5,7,3,2,6
2020-01-01 04:00:00,36,7,5,0,1,4,4,1,0,3
2020-01-01 05:00:00,28,2,6,0,1,1,2,1,2,0
2020-01-01 06:00:00,25,0,6,0,0,0,2,2,0,1
2020-01-01 07:00:00,69,1,2,0,5,4,7,3,1,2
2020-01-01 08:00:00,17,2,7,0,3,6,3,4,2,6
2020-01-01 09:00:00,34,6,10,3,8,11,2,12,3,9
2020-01-01 10:00:00,37,11,23,5,11,12,5,17,11,13
2020-01-01 11:00:00,43,22,30,7,27,31,9,27,10,27
2020-01-01 12:00:00,91,24,43,9,23,49,10,30,20,30
2020-01-01 13:00:00,146,48,83,14,48,74,20,69,34,89
2020-01-01 14:00:00,224,86,129,32,89,149,13,98,39,150
2020-01-01 15:00:00,242,109,132,20,73,191,15,131,66,160
2020-01-01 16:00:00,216,55,96,18,67,94,20,63,43,91
2020-01-01 17:00:00,156,31,32,5,23,32,12,36,14,40
2020-01-01 18:00:00,86,6,10,0,6,17,10,6,7,11
2020-01-01 19:00:00,94,5,11,1,4,5,7,8,1,5
2020-01-01 20:00:00,52,3,11,0,1,4,8,5,3,3
2020-01-01 21:00:00,58,5,7,2,3,1,3,6,0,2
2020-01-01 22:00:00,38,3,3,0,2,1,2,2,1,2
2020-01-01 23:00:00,22,1,8,0,0,3,1,2,0,3
2020-01-02 00:00:00,11,0,3,0,0,0,0,1,0,0
2020-01-02 01:00:00,8,0,2,0,0,1,0,1,0,1
2020-01-02 02:00:00,5,0,0,0,0,0,0,0,0,0
2020-01-02 03:00:00,4,1,1,0,1,0,1,2,0,0
2020-01-02 04:00:00,12,1,4,0,0,0,1,0,1,0
2020-01-02 05:00:00,33,13,16,2,5,2,8,4,4,1
2020-01-02 06:00:00,120,37,59,7,12,20,20,31,7,14
2020-01-02 07:00:00,254,57,122,14,31,44,40,78,17,31
2020-01-02 08:00:00,291,44,194,9,62,68,27,138,23,60
2020-01-02 09:00:00,195,30,120,3,36,53,23,70,23,43
2020-01-02 10:00:00,209,17,35,3,23,32,22,38,16,38
2020-01-02 11:00:00,228,15,51,11,42,37,28,64,20,39
2020-01-02 12:00:00,274,38,61,18,52,81,19,67,30,69
2020-01-02 13:00:00,303,49,73,23,47,63,35,83,39,62
2020-01-02 14:00:00,323,41,85,19,38,64,42,96,23,92
2020-01-02 15:00:00,402,67,117,17,76,96,29,115,51,98
2020-01-02 16:00:00,444,73,142,18,76,99,51,142,33,88
2020-01-02 17:00:00,423,56,168,10,60,78,37,125,28,83
2020-01-02 18:00:00,306,45,78,9,24,30,24,67,17,46
2020-01-02 19:00:00,232,17,36,4,15,16,28,20,10,28
2020-01-02 20:00:00,151,16,16,1,5,9,10,11,7,20
2020-01-02 21:00:00,103,3,13,1,2,5,13,5,4,3
2020-01-02 22:00:00,97,4,11,1,2,4,14,10,1,4
2020-01-02 23:00:00,48,1,4,4,2,3,8,4,1,6
2020-01-03 00:00:00,29,0,2,0,0,3,0,0,1,5
2020-01-03 01:00:00,13,1,5,0,0,2,2,3,1,2
2020-01-03 02:00:00,10,1,0,0,0,1,0,0,0,3
2020-01-03 03:00:00,6,1,1,0,0,0,1,2,0,0
2020-01-03 04:00:00,11,7,2,0,1,2,0,0,1,1
2020-01-03 05:00:00,36,12,10,3,5,4,15,11,2,2
2020-01-03 06:00:00,111,31,47,4,12,16,18,30,9,13
2020-01-03 07:00:00,230,44,104,6,42,30,34,70,19,31
2020-01-03 08:00:00,268,43,154,15,54,67,27,136,17,46
2020-01-03 09:00:00,234,25,106,4,50,34,25,82,26,39
2020-01-03 10:00:00,208,30,48,9,28,47,24,40,15,51
2020-01-03 11:00:00,234,21,44,10,42,36,29,49,18,60
2020-01-03 12:00:00,271,24,67,10,32,53,31,55,21,58
2020-01-03 13:00:00,329,37,81,6,30,56,29,81,23,53
2020-01-03 14:00:00,342,32,102,5,48,58,42,79,28,62
2020-01-03 15:00:00,320,37,93,13,51,75,51,86,25,65
2020-01-03 16:00:00,314,30,99,8,48,53,32,108,29,46
2020-01-03 17:00:00,318,32,100,9,52,40,21,90,20,40
2020-01-03 18:00:00,262,21,58,2,27,28,28,53,13,32
2020-01-03 19:00:00,239,16,30,1,8,18,20,32,6,25
2020-01-03 20:00:00,126,6,19,2,3,12,11,6,1,19
