Time,Kennedybrücke,Nordbrücke,Südbrücke,Estermannufer,Von-Sandt-Ufer,Rhenusallee,Brühler Straße,Wilhelm-Spiritus-Ufer,Mc Cloy Weg,Weg auf Damm Neil
2020-01-03 21:00:00,85,4,15,1,4,11,11,7,0,18
2020-01-03 22:00:00,84,4,13,0,1,2,10,8,1,3
2020-01-03 23:00:00,76,6,19,0,4,2,5,3,0,2
2020-01-04 00:00:00,43,0,2,0,1,5,3,1,0,5
2020-01-04 01:00:00,37,2,3,0,0,3,0,4,0,3
2020-01-04 02:00:00,20,0,1,0,0,0,0,0,4,0
2020-01-04 03:00:00,12,2,1,0,2,0,1,1,0,0
2020-01-04 04:00:00,12,1,2,0,1,1,0,0,0,1
2020-01-04 05:00:00,14,4,3,0,5,2,2,2,0,2
2020-01-04 06:00:00,22,6,6,1,0,6,6,3,0,2
2020-01-04 07:00:00,31,1,14,0,1,4,4,3,0,3
2020-01-04 08:00:00,75,5,26,5,11,9,18,13,5,11
2020-01-04 09:00:00,111,17,26,9,19,22,15,18,12,32
2020-01-04 10:00:00,197,33,48,11,29,43,16,47,18,45
2020-01-04 11:00:00,299,37,51,10,49,60,19,50,30,61
2020-01-04 12:00:00,331,42,44,34,42,60,37,60,25,63
2020-01-04 13:00:00,344,50,83,26,46,89,32,94,29,85
2020-01-04 14:00:00,329,39,63,23,47,68,26,88,39,74
2020-01-04 15:00:00,327,47,88,11,48,63,29,67,44,54
2020-01-04 16:00:00,269,36,44,16,39,40,29,58,34,52
2020-01-04 17:00:00,249,14,40,10,19,23,18,51,13,29
2020-01-04 18:00:00,234,16,24,4,10,14,19,32,9,19
2020-01-04 19:00:00,208,8,27,1,6,13,13,24,5,21
2020-01-04 20:00:00,169,2,15,0,4,11,6,15,5,13
2020-01-04 21:00:00,68,4,14,0,3,5,8,6,3,4
2020-01-04 22:00:00,87,0,5,0,2,6,8,11,1,3
2020-01-04 23:00:00,76,0,5,0,3,2,6,9,0,6
2020-01-05 00:00:00,50,2,7,0,1,3,1,3,0,7
2020-01-05 01:00:00,39,0,6,0,1,2,0,4,0,1
2020-01-05 02:00:00,22,0,4,0,0,0,8,2,1,0
2020-01-05 03:00:00,7,0,5,0,3,1,4,2,1,1
2020-01-05 04:00:00,11,0,1,0,1,0,1,0,0,0
2020-01-05 05:00:00,11,3,0,0,1,0,2,1,1,0
2020-01-05 06:00:00,11,3,2,0,3,1,0,4,3,1
2020-01-05 07:00:00,18,3,3,1,4,3,1,2,2,2
2020-01-05 08:00:00,44,6,17,2,6,13,8,13,9,15
2020-01-05 09:00:00,84,13,43,6,21,35,9,30,19,24
2020-01-05 10:00:00,164,35,61,13,47,51,14,40,19,51
2020-01-05 11:00:00,154,32,62,25,50,75,33,69,27,55
2020-01-05 12:00:00,182,59,70,38,61,79,17,80,44,76
2020-01-05 13:00:00,207,57,89,29,73,83,18,93,66,66
2020-01-05 14:00:00,285,48,95,26,80,104,34,78,40,99
2020-01-05 15:00:00,249,72,104,36,78,93,17,138,60,96
2020-01-05 16:00:00,235,52,70,14,69,70,19,93,56,70
2020-01-05 17:00:00,248,19,57,5,40,45,17,48,25,41
2020-01-05 18:00:00,180,16,24,1,15,18,25,38,11,26
2020-01-05 19:00:00,167,12,24,1,9,12,12,16,2,11
2020-01-05 20:00:00,122,8,12,1,6,4,8,13,1,5
2020-01-05 21:00:00,75,2,11,0,9,10,8,12,6,4
2020-01-05 22:00:00,68,1,8,0,2,4,7,8,0,2
2020-01-05 23:00:00,27,0,6,0,1,1,6,5,0,2
2020-01-06 00:00:00,20,1,0,0,0,2,0,2,3,2
2020-01-06 01:00:00,9,1,0,0,1,1,2,1,0,0
2020-01-06 02:00:00,10,1,0,0,0,0,3,0,1,0
2020-01-06 03:00:00,8,1,1,0,0,0,1,1,0,0
2020-01-06 04:00:00,6,3,3,0,3,0,1,0,2,0
2020-01-06 05:00:00,56,25,33,3,8,8,14,14,2,5
2020-01-06 06:00:00,224,68,123,15,25,43,45,55,20,36
2020-01-06 07:00:00,577,106,306,54,121,140,80,240,60,119
2020-01-06 08:00:00,714,93,456,38,201,180,87,385,77,130
2020-01-06 09:00:00,380,38,191,15,62,84,38,167,24,69
2020-01-06 10:00:00,318,32,85,17,48,62,35,74,22,74
2020-01-06 11:00:00,302,42,98,26,52,79,37,71,35,75
2020-01-06 12:00:00,391,51,111,15,53,93,47,103,37,98
2020-01-06 13:00:00,434,65,123,17,96,119,40,115,51,141
2020-01-06 14:00:00,482,69,147,35,80,147,47,117,49,153
2020-01-06 15:00:00,558,98,222,30,140,171,54,169,77,167
2020-01-06 16:00:00,739,140,344,39,113,232,99,245,62,196
2020-01-06 17:00:00,742,117,341,44,137,148,82,286,54,148
2020-01-06 18:00:00,607,57,212,22,72,102,55,202,42,91
2020-01-06 19:00:00,384,33,95,11,31,35,41,67,16,52
2020-01-06 20:00:00,215,12,45,4,7,17,26,24,5,15
2020-01-06 21:00:00,146,9,17,0,4,10,24,13,6,17
2020-01-06 22:00:00,99,10,12,2,4,4,12,6,1,3
2020-01-06 23:00:00,44,1,1,0,1,1,4,1,0,2
2020-01-07 00:00:00,19,0,0,0,1,0,3,0,3,1
2020-01-07 01:00:00,5,0,2,0,0,1,0,3,0,0
2020-01-07 02:00:00,7,0,0,0,0,1,1,0,0,1
2020-01-07 03:00:00,3,1,2,0,1,0,0,2,1,0
2020-01-07 04:00:00,7,4,1,0,2,1,2,0,2,0
2020-01-07 05:00:00,48,13,35,0,7,8,14,13,2,5
2020-01-07 06:00:00,238,73,132,18,35,34,45,62,16,34
2020-01-07 07:00:00,790,131,391,53,120,177,119,241,78,185
2020-01-07 08:00:00,806,93,550,42,199,209,101,464,66,142
2020-01-07 09:00:00,420,44,196,10,66,67,44,198,28,65
2020-01-07 10:00:00,287,28,82,9,43,46,39,52,19,34
2020-01-07 11:00:00,261,31,62,18,33,43,42,85,30,64
2020-01-07 12:00:00,377,41,89,20,63,80,43,105,37,76
2020-01-07 13:00:00,430,57,117,21,65,78,63,109,39,88
2020-01-07 14:00:00,440,48,136,19,50,78,60,102,37,67
2020-01-07 15:00:00,544,72,210,37,78,104,89,145,55,107
2020-01-07 16:00:00,746,135,349,44,117,163,121,208,46,158
2020-01-07 17:00:00,834,125,396,35,126,188,80,312,59,175
2020-01-07 18:00:00,667,74,257,16,75,109,60,244,36,135
2020-01-07 19:00:00,437,53,103,6,41,59,48,107,29,70
2020-01-07 20:00:00,299,23,56,4,13,29,24,35,10,38
2020-01-07 21:00:00,201,16,25,1,7,11,31,23,5,13
2020-01-07 22:00:00,145,7,14,0,3,5,8,12,2,7
2020-01-07 23:00:00,64,8,4,0,1,4,7,10,0,5
2020-01-08 00:00:00,22,2,0,3,0,1,3,1,0,0
2020-01-08 01:00:00,11,0,0,0,0,0,2,1,0,1
2020-01-08 02:00:00,11,0,1,0,0,2,0,0,0,1
2020-01-08 03:00:00,6,4,0,0,0,0,4,1,0,0
2020-01-08 04:00:00,8,3,3,0,0,0,2,0,1,1
2020-01-08 05:00:00,48,19,30,0,8,9,12,13,4,6
2020-01-08 06:00:00,223,59,98,19,34,27,37,56,15,25
2020-01-08 07:00:00,617,92,289,45,109,134,88,202,58,134
2020-01-08 08:00:00,806,85,497,31,170,193,112,447,55,140
2020-01-08 09:00:00,441,46,177,5,72,84,49,166,32,61
2020-01-08 10:00:00,289,20,74,12,36,40,22,50,16,38
2020-01-08 11:00:00,280,16,55,11,38,36,31,64,16,45
2020-01-08 12:00:00,324,24,74,16,31,44,37,73,18,42
2020-01-08 13:00:00,330,41,108,12,52,67,46,79,26,70
2020-01-08 14:00:00,395,43,127,19,47,65,52,84,25,76
2020-01-08 15:00:00,432,72,220,30,86,113,75,132,62,99
2020-01-08 16:00:00,635,107,237,31,90,153,87,177,38,148
2020-01-08 17:00:00,663,94,336,31,117,163,71,289,57,141
2020-01-08 18:00:00,616,47,194,10,72,88,63,194,35,97
2020-01-08 19:00:00,417,39,107,7,40,40,34,83,17,43
2020-01-08 20:00:00,278,21,33,1,7,23,27,43,6,34
2020-01-08 21:00:00,234,15,40,3,2,7,21,17,2,12
2020-01-08 22:00:00,144,8,16,3,8,5,14,18,1,14
2020-01-08 23:00:00,96,6,7,0,2,4,8,1,0,6
2020-01-09 00:00:00,29,4,1,4,0,0,6,2,0,0
2020-01-09 01:00:00,9,0,0,0,1,0,2,0,1,0
2020-01-09 02:00:00,2,3,2,0,0,0,0,0,0,0
2020-01-09 03:00:00,9,5,0,0,1,0,1,1,0,0
2020-01-09 04:00:00,10,3,5,1,2,0,2,0,2,0
2020-01-09 05:00:00,49,21,22,2,6,6,12,13,5,4
2020-01-09 06:00:00,154,47,102,17,20,31,36,37,13,22
2020-01-09 07:00:00,468,84,224,27,68,80,70,148,37,80
2020-01-09 08:00:00,513,59,320,19,114,115,68,271,38,77
2020-01-09 09:00:00,335,23,140,6,45,52,34,143,13,38
2020-01-09 10:00:00,181,15,38,1,25,39,28,25,14,24
2020-01-09 11:00:00,147,10,32,5,12,14,24,19,7,19
2020-01-09 12:00:00,219,12,53,12,14,24,23,34,6,13
2020-01-09 13:00:00,236,21,55,4,16,11,33,40,9,23
2020-01-09 14:00:00,305,24,64,7,26,32,38,39,16,54
2020-01-09 15:00:00,368,50,125,12,48,42,50,79,20,46
2020-01-09 16:00:00,460,61,204,19,72,92,66,139,36,80
2020-01-09 17:00:00,554,70,229,24,63,85,62,209,32,81
2020-01-09 18:00:00,455,47,154,10,42,64,43,139,19,65
2020-01-09 19:00:00,330,24,55,7,24,22,38,50,13,48
2020-01-09 20:00:00,218,17,38,2,10,21,25,24,2,38
2020-01-09 21:00:00,168,10,30,2,8,13,13,10,4,15
2020-01-09 22:00:00,152,7,16,0,2,8,10,13,5,14
2020-01-09 23:00:00,61,1,8,0,3,6,7,6,1,5
2020-01-10 00:00:00,29,0,1,0,0,2,2,2,1,1
2020-01-10 01:00:00,15,1,0,0,0,0,3,1,0,2
2020-01-10 02:00:00,6,2,0,0,0,0,2,0,1,0
2020-01-10 03:00:00,3,2,2,0,1,0,1,3,0,1
2020-01-10 04:00:00,8,0,4,0,1,0,4,0,1,0
2020-01-10 05:00:00,40,17,28,2,4,3,13,8,2,3
2020-01-10 06:00:00,200,54,86,15,26,22,35,41,18,18
2020-01-10 07:00:00,636,113,298,34,97,120,89,212,62,137
2020-01-10 08:00:00,627,78,402,28,147,141,87,305,35,106
2020-01-10 09:00:00,380,28,140,7,64,64,49,155,29,64
2020-01-10 10:00:00,267,19,61,4,37,47,32,49,19,52
2020-01-10 11:00:00,249,25,33,5,15,20,23,34,12,25
2020-01-10 12:00:00,316,42,66,8,30,32,45,67,10,34
2020-01-10 13:00:00,457,46,115,9,27,62,75,87,23,59
2020-01-10 14:00:00,451,61,165,17,52,85,70,98,19,95
2020-01-10 15:00:00,475,59,175,29,83,82,69,147,54,74
2020-01-10 16:00:00,542,66,206,34,92,104,64,200,48,96
2020-01-10 17:00:00,441,57,182,19,67,79,39,161,34,70
2020-01-10 18:00:00,374,45,118,8,43,59,43,106,15,57
2020-01-10 19:00:00,321,27,62,3,23,29,26,63,9,42
2020-01-10 20:00:00,173,13,34,1,9,13,23,19,4,32
2020-01-10 21:00:00,140,6,15,2,6,15,14,18,5,12
2020-01-10 22:00:00,145,3,10,0,5,3,7,13,1,7
2020-01-10 23:00:00,111,2,17,0,0,9,6,9,1,14
2020-01-11 00:00:00,93,0,5,0,4,7,7,7,0,7
2020-01-11 01:00:00,50,3,4,0,0,1,3,3,0,3
2020-01-11 02:00:00,17,0,0,2,2,3,4,0,0,1
2020-01-11 03:00:00,16,1,0,0,4,1,0,2,1,2
2020-01-11 04:00:00,13,0,1,0,6,0,2,0,0,0
2020-01-11 05:00:00,17,6,3,0,0,1,4,3,0,1
2020-01-11 06:00:00,31,4,16,4,1,5,3,7,2,1
2020-01-11 07:00:00,49,6,21,1,6,7,9,5,2,7
2020-01-11 08:00:00,110,11,35,4,17,23,19,23,13,21
2020-01-11 09:00:00,207,28,51,4,27,42,21,36,22,52
2020-01-11 10:00:00,266,34,61,17,55,54,22,74,38,66
2020-01-11 11:00:00,325,57,70,16,57,89,39,81,38,106
2020-01-11 12:00:00,444,52,83,33,61,109,44,107,54,125
2020-01-11 13:00:00,455,68,120,41,89,136,42,138,65,125
2020-01-11 14:00:00,488,82,96,45,95,122,57,126,76,141
2020-01-11 15:00:00,466,90,109,35,97,136,49,154,84,159
2020-01-11 16:00:00,454,61,96,39,117,116,39,139,86,126
2020-01-11 17:00:00,368,32,72,15,57,56,30,71,28,69
2020-01-11 18:00:00,320,17,25,6,19,27,20,46,19,42
2020-01-11 19:00:00,331,14,32,7,11,22,18,33,5,21
2020-01-11 20:00:00,229,6,12,3,4,13,11,19,4,20
2020-01-11 21:00:00,122,5,16,2,3,8,14,9,7,8
2020-01-11 22:00:00,129,7,14,0,2,9,6,11,1,11
2020-01-11 23:00:00,124,5,9,0,8,4,2,11,0,10
2020-01-12 00:00:00,105,3,6,0,0,4,9,7,1,7
2020-01-12 01:00:00,106,1,2,0,3,2,3,9,0,6
2020-01-12 02:00:00,48,5,2,1,0,2,1,2,0,3
2020-01-12 03:00:00,28,2,0,0,0,1,0,1,0,0
2020-01-12 04:00:00,16,0,2,0,0,0,0,0,0,0
2020-01-12 05:00:00,13,4,3,0,5,2,2,6,0,1
2020-01-12 06:00:00,11,3,4,0,1,0,3,1,0,0
2020-01-12 07:00:00,37,2,9,1,7,4,2,10,5,3
2020-01-12 08:00:00,56,9,16,5,13,14,13,18,11,13
2020-01-12 09:00:00,107,22,47,11,21,45,15,29,26,38
2020-01-12 10:00:00,218,39,85,15,70,88,17,63,45,87
2020-01-12 11:00:00,193,71,124,43,89,142,15,122,67,132
2020-01-12 12:00:00,303,103,133,49,153,160,17,165,98,163
2020-01-12 13:00:00,336,100,196,54,137,191,22,197,95,148
2020-01-12 14:00:00,361,91,160,41,91,152,26,143,81,168
2020-01-12 15:00:00,263,63,115,36,124,110,21,116,91,102
2020-01-12 16:00:00,268,46,107,21,80,93,23,118,60,106
2020-01-12 17:00:00,252,30,53,14,50,58,16,65,35,56
2020-01-12 18:00:00,210,20,22,2,20,36,13,35,11,40
2020-01-12 19:00:00,162,12,22,3,4,10,8,17,4,17
2020-01-12 20:00:00,122,8,22,1,8,5,8,6,6,4
2020-01-12 21:00:00,105,5,16,0,1,5,12,8,1,6
2020-01-12 22:00:00,86,3,12,0,1,7,4,10,4,7
2020-01-12 23:00:00,56,5,4,0,1,2,3,1,0,2
2020-01-13 00:00:00,24,2,0,0,1,0,0,1,0,0
2020-01-13 01:00:00,7,2,3,0,0,1,4,1,0,2
2020-01-13 02:00:00,7,1,0,0,0,0,0,0,0,1
2020-01-13 03:00:00,4,1,1,0,0,0,1,0,0,0
2020-01-13 04:00:00,11,2,4,1,1,3,3,0,0,1
2020-01-13 05:00:00,65,33,33,5,7,11,10,17,3,6
2020-01-13 06:00:00,255,65,124,16,29,47,45,51,24,40
2020-01-13 07:00:00,823,123,382,58,147,183,99,253,81,184
2020-01-13 08:00:00,815,118,572,44,192,210,113,428,70,169
2020-01-13 09:00:00,433,44,205,13,76,85,41,188,36,93
2020-01-13 10:00:00,281,27,87,12,52,49,34,66,22,48
2020-01-13 11:00:00,288,26,70,6,51,45,40,66,31,52
2020-01-13 12:00:00,320,37,77,12,46,45,38,77,19,55
2020-01-13 13:00:00,396,49,135,18,45,74,60,110,22,69
2020-01-13 14:00:00,440,38,131,19,63,74,58,91,35,90
2020-01-13 15:00:00,549,76,230,25,91,125,63,156,50,129
2020-01-13 16:00:00,740,115,335,28,128,160,92,223,69,158
2020-01-13 17:00:00,825,118,379,48,148,185,79,320,74,160
2020-01-13 18:00:00,624,62,238,19,74,98,68,237,42,110
2020-01-13 19:00:00,482,37,126,9,43,54,42,93,17,71
2020-01-13 20:00:00,256,12,46,3,11,22,26,41,11,30
2020-01-13 21:00:00,187,7,36,1,3,11,22,21,7,21
2020-01-13 22:00:00,167,4,22,3,8,7,15,23,5,10
2020-01-13 23:00:00,63,4,7,0,1,2,13,6,0,5
2020-01-14 00:00:00,14,5,2,0,0,1,0,0,0,0
2020-01-14 01:00:00,6,0,0,0,1,1,3,1,0,2
2020-01-14 02:00:00,6,0,1,0,0,0,0,1,0,0
2020-01-14 03:00:00,8,1,0,0,1,1,2,1,0,0
2020-01-14 04:00:00,8,3,6,1,1,0,2,0,1,0
2020-01-14 05:00:00,59,27,41,1,8,11,14,12,3,9
2020-01-14 06:00:00,255,71,116,25,28,41,47,66,16,36
2020-01-14 07:00:00,780,142,382,48,130,156,103,239,75,171
2020-01-14 08:00:00,837,89,548,36,203,192,119,464,68,140
2020-01-14 09:00:00,467,41,193,19,63,82,48,191,29,58
2020-01-14 10:00:00,292,22,86,11,35,35,29,45,23,38
2020-01-14 11:00:00,267,12,68,7,37,37,30,55,21,44
2020-01-14 12:00:00,328,26,70,13,29,34,47,65,29,46
2020-01-14 13:00:00,412,32,108,17,41,65,51,78,23,82
2020-01-14 14:00:00,429,35,152,24,53,46,47,80,26,65
2020-01-14 15:00:00,490,60,202,27,56,73,74,122,30,92
2020-01-14 16:00:00,674,125,299,44,90,122,105,195,62,115
2020-01-14 17:00:00,838,98,363,21,123,191,68,290,51,158
2020-01-14 18:00:00,636,80,256,19,71,104,64,203,29,108
2020-01-14 19:00:00,435,31,127,11,27,55,40,105,27,65
2020-01-14 20:00:00,295,18,66,4,26,20,23,41,14,32
2020-01-14 21:00:00,220,11,33,2,5,11,22,28,6,23
2020-01-14 22:00:00,184,9,14,1,6,9,7,13,3,12
2020-01-14 23:00:00,71,3,10,0,2,8,4,6,2,7
2020-01-15 00:00:00,27,2,3,0,2,2,1,1,0,3
2020-01-15 01:00:00,13,0,2,0,0,0,2,1,0,2
2020-01-15 02:00:00,3,1,1,0,1,0,0,1,0,0
2020-01-15 03:00:00,5,1,0,0,0,1,2,0,0,1
2020-01-15 04:00:00,7,5,3,0,1,0,2,0,1,0
2020-01-15 05:00:00,57,27,34,0,11,7,18,10,5,8
2020-01-15 06:00:00,258,62,128,31,35,37,40,72,27,31
2020-01-15 07:00:00,795,115,346,52,123,156,102,248,70,178
2020-01-15 08:00:00,888,106,598,48,199,212,108,498,58,171
2020-01-15 09:00:00,432,44,238,12,85,103,62,185,0,87
2020-01-15 10:00:00,301,33,89,16,46,47,35,80,0,35
2020-01-15 11:00:00,299,30,97,21,55,56,35,72,0,75
2020-01-15 12:00:00,354,53,106,26,62,78,56,116,2,73
2020-01-15 13:00:00,456,56,144,31,73,94,56,124,27,130
2020-01-15 14:00:00,471,66,186,36,85,128,57,139,51,128
2020-01-15 15:00:00,611,87,239,23,102,160,77,166,62,178
2020-01-15 16:00:00,782,143,335,51,151,171,118,251,88,149
2020-01-15 17:00:00,788,101,358,37,131,170,92,343,57,151
2020-01-15 18:00:00,703,67,231,13,94,118,64,220,50,119
2020-01-15 19:00:00,442,35,128,11,29,45,36,84,18,65
2020-01-15 20:00:00,296,23,70,2,19,29,21,51,6,44
2020-01-15 21:00:00,215,11,53,4,13,15,15,41,10,23
2020-01-15 22:00:00,185,10,21,3,9,13,13,28,10,13
2020-01-15 23:00:00,90,6,25,1,0,8,8,6,1,11
2020-01-16 00:00:00,39,1,5,0,3,4,7,1,1,6
2020-01-16 01:00:00,14,1,3,0,0,1,1,1,0,1
2020-01-16 02:00:00,9,0,0,0,1,0,4,1,1,0
2020-01-16 03:00:00,5,3,0,2,0,0,1,1,0,0
2020-01-16 04:00:00,11,4,5,0,2,1,3,0,2,1
2020-01-16 05:00:00,58,26,35,3,12,13,14,21,6,10
2020-01-16 06:00:00,273,73,134,27,33,47,48,69,16,42
2020-01-16 07:00:00,802,137,390,56,121,164,103,231,74,176
2020-01-16 08:00:00,837,112,543,33,220,232,114,480,73,183
2020-01-16 09:00:00,505,47,211,22,94,101,54,205,0,79
2020-01-16 10:00:00,313,40,107,16,53,75,42,101,2,76
2020-01-16 11:00:00,344,35,98,17,76,86,59,102,4,87
2020-01-16 12:00:00,437,62,130,36,84,121,60,130,0,129
2020-01-16 13:00:00,480,76,188,35,96,151,62,168,42,146
2020-01-16 14:00:00,578,102,239,27,117,178,65,159,71,205
2020-01-16 15:00:00,679,86,289,48,159,208,98,208,86,216
2020-01-16 16:00:00,846,161,378,64,166,245,102,285,86,223
2020-01-16 17:00:00,886,104,404,43,148,220,105,326,94,220
2020-01-16 18:00:00,695,73,270,22,88,118,73,222,45,111
2020-01-16 19:00:00,533,44,101,12,47,43,54,95,27,70
2020-01-16 20:00:00,281,18,74,5,22,33,27,40,8,38
2020-01-16 21:00:00,206,5,40,0,9,14,17,35,7,12
2020-01-16 22:00:00,247,9,22,2,10,5,20,21,8,11
2020-01-16 23:00:00,109,6,9,0,4,4,9,8,1,7
2020-01-17 00:00:00,40,3,5,2,0,0,5,0,0,3
2020-01-17 01:00:00,16,1,2,0,0,3,2,1,0,4
2020-01-17 02:00:00,8,1,0,0,0,0,1,2,0,0
2020-01-17 03:00:00,13,1,1,0,0,0,2,1,0,0
2020-01-17 04:00:00,8,3,3,2,1,0,6,0,1,0
2020-01-17 05:00:00,62,20,27,2,4,6,7,14,1,5
2020-01-17 06:00:00,200,49,91,19,33,31,42,57,17,23
2020-01-17 07:00:00,689,112,320,46,114,135,90,191,63,145
2020-01-17 08:00:00,662,75,438,22,157,158,96,375,52,117
2020-01-17 09:00:00,439,30,167,10,74,78,53,151,38,68
2020-01-17 10:00:00,342,32,70,13,46,60,32,73,31,61
2020-01-17 11:00:00,352,32,79,18,31,64,46,80,21,77
2020-01-17 12:00:00,394,46,109,28,43,67,62,92,38,78
2020-01-17 13:00:00,524,65,131,18,48,105,87,88,29,97
2020-01-17 14:00:00,503,51,157,21,59,53,55,112,31,62
2020-01-17 15:00:00,469,63,176,26,57,74,47,132,25,74
2020-01-17 16:00:00,510,65,236,20,63,108,54,202,24,72
2020-01-17 17:00:00,424,45,196,18,70,81,47,157,42,73
2020-01-17 18:00:00,435,32,98,14,53,54,31,100,33,56
2020-01-17 19:00:00,332,18,63,5,24,25,21,60,12,19
2020-01-17 20:00:00,182,15,29,3,12,11,8,13,8,20
2020-01-17 21:00:00,131,11,20,2,6,13,12,17,5,16
2020-01-17 22:00:00,139,2,25,0,7,8,8,18,4,7
2020-01-17 23:00:00,113,3,6,0,9,6,3,5,1,5
2020-01-18 00:00:00,75,3,10,0,0,3,2,5,1,6
2020-01-18 01:00:00,57,4,8,0,3,2,0,3,0,1
2020-01-18 02:00:00,25,0,3,0,0,0,3,1,1,0
2020-01-18 03:00:00,13,1,6,0,0,0,1,3,0,3
2020-01-18 04:00:00,6,0,1,2,0,0,2,0,0,0
2020-01-18 05:00:00,13,3,5,0,3,2,2,5,2,1
2020-01-18 06:00:00,29,4,6,1,1,3,5,1,0,1
2020-01-18 07:00:00,54,6,9,1,4,8,3,6,1,5
2020-01-18 08:00:00,107,13,47,7,26,32,20,28,22,22
