Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),KennedyBrücke,NordBrücke,SüdBrücke,Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn2017
2017-01-01 00:00:00,-6.3,0.0,1.7,32.0,0,14,0,1,0.0,3,8,0,4,33
2017-01-01 01:00:00,-7.3,0.0,1.7,32.0,5,9,0,3,2.0,7,5,3,7,49
2017-01-01 02:00:00,-6.7,0.0,1.9,32.0,6,14,0,1,5.0,8,5,0,4,53
2017-01-01 03:00:00,-6.7,0.0,1.9,32.0,2,3,0,0,2.0,0,1,1,4,32
2017-01-01 04:00:00,-6.1,0.0,1.9,32.0,1,3,0,2,3.0,6,4,2,2,30
2017-01-01 05:00:00,-6.0,0.0,2.2,32.0,0,4,0,1,1.0,4,2,1,0,15
2017-01-01 06:00:00,-5.9,0.0,2.7,32.0,6,0,0,0,0.0,0,1,0,0,8
2017-01-01 07:00:00,-5.9,0.0,2.1,32.0,2,6,0,2,2.0,5,3,1,1,26
2017-01-01 08:00:00,-5.6,0.0,2.1,32.0,2,3,0,3,3.0,1,5,2,0,20
2017-01-01 09:00:00,-3.7,0.0,2.2,32.0,6,8,1,14,7.0,7,7,3,2,61
2017-01-01 10:00:00,-2.1,0.0,2.4,32.0,12,10,3,17,7.0,14,14,11,5,101
2017-01-01 11:00:00,-0.9,0.0,2.6,32.0,6,15,7,28,22.0,11,20,8,11,144
2017-01-01 12:00:00,0.1,0.0,2.5,32.0,16,30,8,21,31.0,11,30,27,31,218
2017-01-01 13:00:00,1.3,0.0,2.0,32.0,36,51,16,39,46.0,9,46,27,48,337
2017-01-01 14:00:00,-0.3,0.0,1.9,32.0,40,65,16,27,74.0,13,41,19,69,384
2017-01-01 15:00:00,-1.1,0.0,1.7,32.0,61,74,19,34,85.0,22,48,23,57,454
2017-01-01 16:00:00,-2.0,0.0,0.9,32.0,33,45,6,34,49.0,15,42,14,44,301
2017-01-01 17:00:00,-0.9,0.0,1.9,32.0,17,17,4,15,20.0,9,14,8,16,135
