Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,NordBrücke,SüdBrücke,KennedyBrücke,Bonn2020
2020-01-01 00:00:00,0.6,0.0,1.8,0.0,6.0,6.0,5.0,12.0,1.0,5.0,4.0,17.0,53.0,115.0
2020-01-01 01:00:00,0.4,0.0,1.3,0.0,2.0,9.0,13.0,8.0,2.0,6.0,6.0,15.0,77.0,143.0
2020-01-01 02:00:00,-0.4,0.0,1.7,0.0,11.0,4.0,8.0,7.0,0.0,4.0,11.0,20.0,108.0,179.0
2020-01-01 03:00:00,-1.1,0.0,1.0,0.0,5.0,5.0,7.0,3.0,2.0,6.0,4.0,9.0,104.0,148.0
2020-01-01 04:00:00,-0.8,0.0,0.9,0.0,1.0,4.0,4.0,1.0,0.0,3.0,7.0,5.0,36.0,63.0
2020-01-01 05:00:00,-0.6,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,6.0,28.0,44.0
2020-01-01 06:00:00,-1.2,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,6.0,25.0,37.0
2020-01-01 07:00:00,0.2,0.0,2.5,0.0,5.0,4.0,7.0,3.0,1.0,2.0,1.0,2.0,69.0,94.0
2020-01-01 08:00:00,0.3,0.0,2.6,0.0,3.0,6.0,3.0,4.0,2.0,6.0,2.0,7.0,17.0,51.0
2020-01-01 09:00:00,0.9,0.0,2.2,3.0,8.0,11.0,2.0,12.0,3.0,9.0,6.0,10.0,34.0,99.0
2020-01-01 10:00:00,1.6,0.0,3.1,5.0,11.0,12.0,5.0,17.0,11.0,13.0,11.0,23.0,37.0,148.0
2020-01-01 11:00:00,2.7,0.0,2.5,7.0,27.0,31.0,9.0,27.0,10.0,27.0,22.0,30.0,43.0,241.0
2020-01-01 12:00:00,3.2,0.0,2.1,9.0,23.0,49.0,10.0,30.0,20.0,30.0,24.0,43.0,91.0,338.0
