Datetime,Temperature (°C)
2016-01-01,5.508333333333333
2016-01-02,3.8375
2016-01-03,5.766666666666667
2016-01-04,4.995833333333334
2016-01-05,6.208333333333333
2016-01-06,6.054166666666667
2016-01-07,5.5125
2016-01-08,4.295833333333333
2016-01-09,3.6833333333333336
2016-01-10,6.925
2016-01-11,5.204166666666667
2016-01-12,5.620833333333334
2016-01-13,4.1499999999999995
2016-01-14,2.670833333333333
2016-01-15,2.1083333333333334
2016-01-16,1.1541666666666666
2016-01-17,-0.5541666666666667
2016-01-18,-3.7708333333333335
2016-01-19,-5.866666666666667
2016-01-20,-1.075
2016-01-21,0.31666666666666665
2016-01-22,-1.4791666666666667
2016-01-23,5.1625000000000005
2016-01-24,5.533333333333334
2016-01-25,10.579166666666667
2016-01-26,9.641666666666667
2016-01-27,10.991666666666667
2016-01-28,6.5625
2016-01-29,6.258333333333333
2016-01-30,6.733333333333333
2016-01-31,6.195833333333333
2016-02-01,11.733333333333334
2016-02-02,9.295833333333333
2016-02-03,4.416666666666667
2016-02-04,4.191666666666666
2016-02-05,7.091666666666666
2016-02-06,9.516666666666667
2016-02-07,9.045833333333333
2016-02-08,8.404166666666667
2016-02-09,6.516666666666667
2016-02-10,3.8125
2016-02-11,4.441666666666666
2016-02-12,2.316666666666667
2016-02-13,0.9041666666666667
2016-02-14,3.2875
2016-02-15,0.6166666666666667
2016-02-16,-0.0666666666666667
2016-02-17,0.11666666666666665
2016-02-18,2.0708333333333333
2016-02-19,1.4000000000000001
2016-02-20,6.6875
2016-02-21,12.137500000000001
2016-02-22,8.408333333333333
2016-02-23,2.6416666666666666
2016-02-24,2.4833333333333334
2016-02-25,0.8041666666666667
2016-02-26,1.6208333333333333
2016-02-27,2.7416666666666667
2016-02-28,1.4666666666666668
2016-02-29,1.7541666666666667
2016-03-01,0.9166666666666666
2016-03-02,6.0
2016-03-03,3.0541666666666667
2016-03-04,2.183333333333333
2016-03-05,2.658333333333333
2016-03-06,2.216666666666667
2016-03-07,1.8708333333333333
2016-03-08,1.5958333333333332
2016-03-09,3.045833333333334
2016-03-10,3.6791666666666667
2016-03-11,4.354166666666667
2016-03-12,2.9875000000000003
2016-03-13,4.533333333333333
