Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),KennedyBrücke,NordBrücke,SüdBrücke,Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn2016
2016-01-01 00:00:00,4.7,0.0,2.7,48.0,2.0,27.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,93.0
2016-01-01 01:00:00,4.3,0.2,3.7,78.0,15.0,14.0,2.0,13.0,11.0,1.0,0.0,0.0,0.0,143.0
2016-01-01 02:00:00,4.7,0.3,3.2,91.0,6.0,27.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,168.0
2016-01-01 03:00:00,4.6,0.0,3.3,103.0,3.0,9.0,4.0,1.0,4.0,8.0,0.0,0.0,0.0,139.0
2016-01-01 04:00:00,5.0,0.0,4.9,50.0,9.0,14.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,83.0
2016-01-01 05:00:00,4.6,0.0,4.7,36.0,7.0,4.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,66.0
2016-01-01 06:00:00,5.0,0.0,4.4,18.0,6.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,35.0
2016-01-01 07:00:00,5.2,0.0,4.1,16.0,4.0,6.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,35.0
2016-01-01 08:00:00,4.6,0.0,3.3,12.0,6.0,0.0,3.0,7.0,1.0,2.0,0.0,0.0,0.0,39.0
2016-01-01 09:00:00,5.0,0.0,2.3,21.0,5.0,11.0,2.0,7.0,14.0,7.0,0.0,0.0,0.0,73.0
2016-01-01 10:00:00,5.6,0.0,2.4,60.0,22.0,21.0,5.0,18.0,22.0,5.0,0.0,0.0,0.0,162.0
2016-01-01 11:00:00,6.6,0.0,1.6,59.0,25.0,23.0,8.0,34.0,36.0,7.0,0.0,0.0,0.0,202.0
2016-01-01 12:00:00,7.2,0.0,1.3,96.0,41.0,61.0,28.0,42.0,65.0,20.0,0.0,0.0,0.0,371.0
2016-01-01 13:00:00,6.8,0.0,2.1,138.0,65.0,103.0,32.0,68.0,100.0,20.0,0.0,0.0,0.0,541.0
2016-01-01 14:00:00,6.1,0.0,3.4,220.0,91.0,135.0,29.0,100.0,153.0,18.0,0.0,0.0,0.0,781.0
2016-01-01 15:00:00,5.6,0.0,3.4,197.0,86.0,171.0,32.0,115.0,166.0,32.0,0.0,0.0,0.0,839.0
2016-01-01 16:00:00,6.1,0.0,3.2,158.0,50.0,91.0,23.0,89.0,99.0,17.0,0.0,0.0,0.0,565.0
2016-01-01 17:00:00,5.9,0.0,3.8,122.0,26.0,28.0,12.0,23.0,28.0,16.0,0.0,0.0,0.0,280.0
2016-01-01 18:00:00,5.9,0.0,3.9,73.0,1.0,20.0,4.0,3.0,15.0,6.0,0.0,0.0,0.0,138.0
2016-01-01 19:00:00,6.0,0.0,4.4,63.0,4.0,13.0,2.0,6.0,13.0,12.0,0.0,0.0,0.0,123.0
2016-01-01 20:00:00,5.9,0.0,5.3,64.0,8.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,100.0
2016-01-01 21:00:00,5.7,0.0,6.5,34.0,2.0,6.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,63.0
2016-01-01 22:00:00,5.6,0.0,5.7,36.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,54.0
2016-01-01 23:00:00,5.5,0.0,5.2,24.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,35.0
2016-01-02 00:00:00,5.2,0.0,4.8,15.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0
2016-01-02 01:00:00,4.9,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0
2016-01-02 02:00:00,4.5,0.0,6.3,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
2016-01-02 03:00:00,4.6,0.0,7.1,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2016-01-02 04:00:00,4.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
2016-01-02 05:00:00,3.9,0.0,5.9,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
2016-01-02 06:00:00,3.7,0.0,6.2,8.0,6.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,29.0
2016-01-02 07:00:00,3.5,0.0,6.6,27.0,2.0,5.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,49.0
2016-01-02 08:00:00,3.1,0.0,6.7,35.0,7.0,6.0,2.0,4.0,5.0,4.0,0.0,0.0,0.0,70.0
2016-01-02 09:00:00,3.2,0.0,6.1,37.0,2.0,7.0,4.0,4.0,10.0,5.0,0.0,0.0,0.0,78.0
2016-01-02 10:00:00,3.2,0.0,4.9,48.0,1.0,8.0,2.0,7.0,3.0,9.0,0.0,0.0,0.0,89.0
2016-01-02 11:00:00,3.4,0.1,6.1,66.0,6.0,6.0,2.0,1.0,11.0,15.0,0.0,0.0,0.0,113.0
2016-01-02 12:00:00,3.7,0.1,6.0,101.0,7.0,11.0,1.0,18.0,3.0,9.0,0.0,0.0,0.0,176.0
2016-01-02 13:00:00,3.8,0.0,5.0,131.0,14.0,17.0,1.0,9.0,12.0,18.0,0.0,0.0,0.0,231.0
2016-01-02 14:00:00,4.0,0.0,3.9,149.0,7.0,24.0,3.0,17.0,30.0,17.0,0.0,0.0,0.0,296.0
2016-01-02 15:00:00,4.0,0.0,4.3,169.0,14.0,39.0,1.0,30.0,29.0,18.0,0.0,0.0,0.0,338.0
2016-01-02 16:00:00,3.7,0.0,3.7,163.0,18.0,33.0,5.0,33.0,29.0,17.0,0.0,0.0,0.0,345.0
2016-01-02 17:00:00,3.7,0.0,3.6,132.0,19.0,16.0,5.0,12.0,11.0,18.0,0.0,0.0,0.0,253.0
2016-01-02 18:00:00,3.3,0.0,4.3,128.0,6.0,21.0,1.0,6.0,10.0,18.0,0.0,0.0,0.0,210.0
2016-01-02 19:00:00,3.2,0.0,4.2,90.0,8.0,12.0,0.0,9.0,8.0,15.0,0.0,0.0,0.0,166.0
2016-01-02 20:00:00,3.4,0.0,4.5,98.0,6.0,10.0,2.0,6.0,7.0,3.0,0.0,0.0,0.0,145.0
2016-01-02 21:00:00,3.8,0.0,4.4,46.0,1.0,8.0,0.0,3.0,5.0,7.0,0.0,0.0,0.0,80.0
2016-01-02 22:00:00,4.0,0.0,4.7,61.0,2.0,2.0,0.0,4.0,2.0,7.0,0.0,0.0,0.0,85.0
2016-01-02 23:00:00,4.3,0.0,4.1,54.0,1.0,9.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,78.0
2016-01-03 00:00:00,4.6,0.0,4.1,31.0,0.0,5.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,48.0
2016-01-03 01:00:00,4.7,0.0,4.3,30.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,46.0
2016-01-03 02:00:00,4.0,0.0,3.9,16.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0
2016-01-03 03:00:00,5.1,0.0,3.7,9.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,21.0
2016-01-03 04:00:00,5.3,0.0,3.2,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0
2016-01-03 05:00:00,5.4,0.0,4.9,12.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,21.0
2016-01-03 06:00:00,5.6,0.0,3.7,9.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0
2016-01-03 07:00:00,5.9,0.0,3.2,12.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,22.0
2016-01-03 08:00:00,6.4,0.0,2.9,21.0,8.0,9.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,64.0
2016-01-03 09:00:00,6.2,0.0,3.1,55.0,14.0,27.0,3.0,17.0,21.0,12.0,0.0,0.0,0.0,165.0
2016-01-03 10:00:00,6.8,0.0,3.0,94.0,27.0,43.0,10.0,31.0,36.0,11.0,0.0,0.0,0.0,274.0
2016-01-03 11:00:00,7.5,0.0,3.1,125.0,47.0,62.0,23.0,59.0,79.0,14.0,0.0,0.0,0.0,445.0
2016-01-03 12:00:00,6.9,0.0,3.2,175.0,55.0,77.0,29.0,66.0,104.0,18.0,0.0,0.0,0.0,551.0
2016-01-03 13:00:00,7.7,0.0,4.7,174.0,62.0,90.0,29.0,77.0,106.0,22.0,0.0,0.0,0.0,606.0
2016-01-03 14:00:00,6.9,0.0,4.5,171.0,44.0,110.0,19.0,118.0,81.0,21.0,0.0,0.0,0.0,603.0
2016-01-03 15:00:00,6.4,0.0,4.7,179.0,47.0,98.0,25.0,79.0,84.0,15.0,0.0,0.0,0.0,582.0
2016-01-03 16:00:00,5.9,0.0,3.4,195.0,35.0,63.0,19.0,57.0,85.0,18.0,0.0,0.0,0.0,514.0
2016-01-03 17:00:00,5.4,0.0,5.3,128.0,17.0,34.0,2.0,14.0,28.0,15.0,0.0,0.0,0.0,281.0
2016-01-03 18:00:00,5.6,0.0,4.9,127.0,12.0,31.0,3.0,11.0,16.0,14.0,0.0,0.0,0.0,250.0
2016-01-03 19:00:00,5.5,0.0,5.5,92.0,4.0,13.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,155.0
2016-01-03 20:00:00,5.6,0.0,5.9,65.0,3.0,12.0,0.0,4.0,11.0,3.0,0.0,0.0,0.0,112.0
2016-01-03 21:00:00,5.6,0.0,7.3,65.0,2.0,4.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,97.0
2016-01-03 22:00:00,5.3,0.0,7.0,43.0,1.0,7.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,72.0
