,ds,y,temp
0,2016-01-31,340599.0,4.158870967741935
1,2016-02-29,348947.0,4.477873563218391
2,2016-03-31,423557.0,4.968951612903226
3,2016-04-30,691519.0,9.137916666666667
4,2016-05-31,882133.0,14.588844086021506
5,2016-06-30,735412.0,17.19527777777778
6,2016-07-31,959327.0,19.143682795698926
7,2016-08-31,1001712.0,18.746102150537634
8,2016-09-30,996665.0,18.009166666666665
9,2016-10-31,566650.0,9.359005376344086
10,2016-11-30,451260.0,5.66375
11,2016-12-31,394085.0,3.615456989247312
12,2017-01-31,332144.0,-0.20766129032258066
13,2017-02-28,371188.0,5.461160714285715
14,2017-03-31,680087.0,9.313844086021506
15,2017-04-30,666014.0,8.478333333333333
16,2017-05-31,930076.0,15.448387096774194
17,2017-06-30,978542.0,19.102083333333333
18,2017-07-31,941886.0,19.049462365591395
19,2017-08-31,888134.0,18.08790322580645
20,2017-09-30,716235.0,13.799861111111111
21,2017-10-31,653714.0,12.661693548387095
22,2017-11-30,503869.0,6.344166666666667
23,2017-12-31,317834.0,4.318682795698924
24,2018-01-31,464499.0,5.682930107526882
25,2018-02-28,475872.0,-0.3852678571428572
26,2018-03-31,539132.0,4.675
27,2018-04-30,829568.0,13.455277777777777
28,2018-05-31,902795.0,16.521102150537637
29,2018-06-30,905792.0,18.099444444444444
30,2018-07-31,970892.0,21.39717741935484
31,2018-08-31,886651.0,20.20967741935484
32,2018-09-30,761136.0,15.550416666666665
33,2018-10-31,689802.0,11.835887096774194
34,2018-11-30,586431.0,6.874861111111111
35,2018-12-31,491055.0,5.302688172043011
36,2019-01-31,338487.0,1.977016129032258
37,2019-02-28,500758.0,6.072619047619048
38,2019-03-31,497597.0,7.757930107526882
39,2019-04-30,741532.0,-8.88736111111111
40,2019-05-31,781951.0,11.496102150537634
41,2019-06-30,1056947.0,20.116111111111113
42,2019-07-31,1033527.0,19.57016129032258
43,2019-08-31,996019.0,19.558198924731183
44,2019-09-30,814896.0,14.815
45,2019-10-31,632174.0,11.893951612903226
46,2019-11-30,502191.0,-27.275
47,2019-12-31,392332.0,5.507795698924731
48,2020-01-31,487025.0,-220.82822580645163
49,2020-02-29,367640.0,6.6482758620689655
50,2020-03-31,568909.0,-187.94543010752687
51,2020-04-30,870122.0,12.268055555555556
52,2020-05-31,964355.0,13.17997311827957
53,2020-06-30,914182.0,17.562083333333334
54,2020-07-31,953793.0,18.351478494623656
55,2020-08-31,951381.0,21.294220430107526
56,2020-09-30,932546.0,15.938888888888888
57,2020-10-31,588303.0,11.472043010752689
58,2020-11-30,551934.0,7.9494444444444445
59,2020-12-31,339070.0,5.269758064516129
60,2021-01-31,322864.0,2.4783602150537636
61,2021-02-28,452084.0,4.9401785714285715
62,2021-03-31,645893.0,-97.16465053763442
63,2021-04-30,652646.0,6.9501388888888895
64,2021-05-31,735254.0,11.531854838709679
65,2021-06-30,995159.0,19.50027777777778
66,2021-07-31,777168.0,18.245430107526882
67,2021-08-31,839741.0,16.956854838709678
68,2021-09-30,973900.0,16.264027777777777
69,2021-10-31,639206.0,11.14516129032258
70,2021-11-30,487770.0,5.809027777777778
71,2021-12-31,392575.0,5.131317204301075
