,ds,y,temp
0,2016-01-03,13045.0,5.0375
1,2016-01-10,76196.0,5.382142857142857
2,2016-01-17,66791.0,2.9077380952380953
3,2016-01-24,80268.0,-0.16845238095238096
4,2016-01-31,104299.0,8.1375
5,2016-02-07,82653.0,7.898809523809524
6,2016-02-14,68249.0,4.2404761904761905
7,2016-02-21,85789.0,3.280357142857143
8,2016-02-28,94351.0,2.880952380952381
9,2016-03-06,80481.0,2.6833333333333336
10,2016-03-13,110982.0,3.1523809523809527
11,2016-03-20,116839.0,4.2125
12,2016-03-27,91584.0,7.667857142857143
13,2016-04-03,111832.0,9.1875
14,2016-04-10,165088.0,10.151190476190477
15,2016-04-17,171013.0,10.756547619047618
16,2016-04-24,178289.0,8.738690476190476
17,2016-05-01,124877.0,6.179166666666666
18,2016-05-08,278433.0,14.186904761904762
19,2016-05-15,192968.0,15.338095238095239
20,2016-05-22,177468.0,14.188095238095238
21,2016-05-29,171539.0,14.797619047619047
22,2016-06-05,131232.0,17.18452380952381
23,2016-06-12,218114.0,17.875595238095237
24,2016-06-19,129159.0,14.508333333333335
25,2016-06-26,178611.0,18.92142857142857
26,2016-07-03,193939.0,17.03452380952381
27,2016-07-10,244541.0,19.039285714285715
28,2016-07-17,209724.0,17.35595238095238
29,2016-07-24,238901.0,22.353571428571428
30,2016-07-31,194239.0,18.986309523809524
31,2016-08-07,184500.0,17.744642857142857
32,2016-08-14,194435.0,16.24404761904762
33,2016-08-21,250352.0,18.253571428571426
34,2016-08-28,260428.0,23.16547619047619
35,2016-09-04,234786.0,18.46964285714286
36,2016-09-11,264103.0,18.967261904761905
37,2016-09-18,225948.0,20.385714285714286
38,2016-09-25,226194.0,15.236904761904762
39,2016-10-02,180862.0,15.407142857142858
40,2016-10-09,139489.0,9.272619047619047
41,2016-10-16,136727.0,8.906547619047618
42,2016-10-23,102541.0,8.495833333333334
43,2016-10-30,140052.0,9.798214285714286
44,2016-11-06,122774.0,7.285714285714286
45,2016-11-13,88479.0,2.9541666666666666
46,2016-11-20,89072.0,7.301785714285715
47,2016-11-27,118210.0,8.530952380952382
48,2016-12-04,104226.0,0.4660714285714286
49,2016-12-11,106375.0,3.6422619047619045
50,2016-12-18,105387.0,5.428571428571429
51,2016-12-25,81431.0,4.39702380952381
52,2017-01-01,56583.0,1.15
53,2017-01-08,53774.0,-0.48333333333333334
54,2017-01-15,74854.0,2.3589285714285717
55,2017-01-22,89563.0,-3.2690476190476194
56,2017-01-29,83520.0,-0.14047619047619048
57,2017-02-05,93451.0,5.095238095238095
58,2017-02-12,92369.0,2.0267857142857144
59,2017-02-19,108584.0,5.663690476190476
60,2017-02-26,84397.0,7.89702380952381
61,2017-03-05,91523.0,7.627380952380953
62,2017-03-12,121063.0,6.940476190476191
63,2017-03-19,149392.0,9.885119047619048
64,2017-03-26,177612.0,9.008333333333335
65,2017-04-02,212214.0,13.563095238095238
66,2017-04-09,203146.0,9.961309523809524
67,2017-04-16,124814.0,9.279166666666667
68,2017-04-23,108912.0,5.822619047619048
69,2017-04-30,177663.0,7.699404761904762
70,2017-05-07,146027.0,10.581547619047619
71,2017-05-14,177378.0,13.033333333333333
72,2017-05-21,228733.0,16.532738095238095
73,2017-05-28,268027.0,19.111309523809524
74,2017-06-04,228798.0,19.76666666666667
75,2017-06-11,222136.0,17.14107142857143
76,2017-06-18,244584.0,18.32916666666667
77,2017-06-25,249541.0,22.617857142857144
78,2017-07-02,172284.0,17.66547619047619
79,2017-07-09,273625.0,20.835714285714285
80,2017-07-16,197469.0,17.05952380952381
81,2017-07-23,241760.0,20.58809523809524
82,2017-07-30,164700.0,18.353571428571428
83,2017-08-06,199869.0,19.119642857142857
84,2017-08-13,161148.0,16.426785714285714
85,2017-08-20,178223.0,17.58809523809524
86,2017-08-27,249437.0,18.43095238095238
87,2017-09-03,217024.0,17.364285714285714
88,2017-09-10,175847.0,15.554166666666665
89,2017-09-17,134232.0,12.588690476190477
90,2017-09-24,175525.0,12.188095238095238
91,2017-10-01,174202.0,14.779761904761905
92,2017-10-08,107334.0,11.820238095238095
93,2017-10-15,194086.0,14.130357142857143
94,2017-10-22,175274.0,14.079166666666667
95,2017-10-29,124534.0,12.23154761904762
96,2017-11-05,118127.0,8.750595238095238
97,2017-11-12,115788.0,5.498809523809523
98,2017-11-19,126013.0,5.468452380952381
99,2017-11-26,105067.0,7.499404761904763
100,2017-12-03,89880.0,2.082738095238095
101,2017-12-10,90860.0,3.810714285714286
102,2017-12-17,83339.0,3.117261904761905
103,2017-12-24,72036.0,6.186904761904763
104,2017-12-31,47383.0,5.943452380952381
105,2018-01-07,113982.0,6.5547619047619055
106,2018-01-14,119904.0,4.973214285714286
107,2018-01-21,80605.0,3.4059523809523813
108,2018-01-28,97059.0,7.094047619047619
109,2018-02-04,99793.0,4.227380952380953
110,2018-02-11,192285.0,-0.7875000000000001
111,2018-02-18,84288.0,1.3952380952380952
112,2018-02-25,106266.0,-0.6922619047619047
113,2018-03-04,91964.0,-3.0904761904761906
114,2018-03-11,208470.0,7.423214285714285
115,2018-03-18,84154.0,4.546428571428571
116,2018-03-25,118111.0,3.144642857142857
117,2018-04-01,92398.0,6.9244047619047615
118,2018-04-08,167715.0,11.49702380952381
119,2018-04-15,175751.0,12.879761904761907
120,2018-04-22,278781.0,17.628571428571426
121,2018-04-29,182230.0,13.251190476190475
122,2018-05-06,173706.0,12.758333333333335
123,2018-05-13,184853.0,16.633928571428573
124,2018-05-20,211989.0,14.207738095238096
125,2018-05-27,204231.0,18.798214285714284
